,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,desired_f_1,desired_f_2
0,0.0,9.298324584960938e-06,-0.39263248443603516,1.963494062423706,7.224082946777344e-05,-1.5707952976226807,-2.384185791015625e-07,0.44632619619369507,0.1690625101327896,0.5921626687049866,-3.1413076666281032,0.00012220975734266807,1.5708383127210188,186.06118546845124,56.89866156787763,128.0,128.0
1,0.05,-0.002254486083984375,-0.3907928466796875,1.9622008800506592,-0.0012524127960205078,-1.5715043544769287,-0.0026645660400390625,0.447823166847229,0.16795122623443604,0.5923612117767334,3.1411097963194443,0.0008277038173957693,1.5712358779986217,185.5,57.615094339622644,128.0,128.0
2,0.1,-0.004491090774536133,-0.3889627456665039,1.9609158039093018,-0.0025675296783447266,-1.5722029209136963,-0.005293369293212891,0.4493066072463989,0.1668490469455719,0.5925570130348206,3.1403509250073993,0.0015292779375739177,1.5716252613890525,184.98848368522073,58.4299424184261,128.0,128.0
3,0.15000000000000002,-0.006697177886962891,-0.3871474266052246,1.9596402645111084,-0.0038704872131347656,-1.5728919506072998,-0.007889032363891602,0.450770765542984,0.16575878858566284,0.592751681804657,3.1395978261151454,0.002227257635067494,1.5720120248080678,184.44145873320537,59.134357005758154,128.0,128.0
4,0.2,-0.008872270584106445,-0.3853433132171631,1.9583728313446045,-0.0051648616790771484,-1.573570966720581,-0.010450601577758789,0.4522206485271454,0.16467852890491486,0.5929436683654785,3.13885365289492,0.0029192741589972385,1.5723953233063201,183.87332053742801,59.87332053742802,128.0,128.0
5,0.25,-0.011015892028808594,-0.38355183601379395,1.9571139812469482,-0.006449460983276367,-1.5742394924163818,-0.01297760009765625,0.45365554094314575,0.16360849142074585,0.5931322574615479,3.1381185565645016,0.0036048229110049296,1.5727743117590955,183.29333333333332,60.57142857142857,128.0,128.0
6,0.30000000000000004,-0.013128042221069336,-0.3817715644836426,1.9558641910552979,-0.007726907730102539,-1.5748975276947021,-0.015470266342163086,0.45507705211639404,0.16254879534244537,0.5933177471160889,3.1373921397586564,0.004283191970397097,1.573149325522757,182.83109404990404,61.35892514395393,128.0,128.0
7,0.35000000000000003,-0.0152130126953125,-0.3800067901611328,1.9546229839324951,-0.00899052619934082,-1.575547456741333,-0.017932415008544922,0.4564826190471649,0.16149741411209106,0.5935007929801941,3.1366749021150673,0.004956284358820187,1.5735205314537977,182.36486486486487,62.0,128.0,128.0
8,0.4,-0.017270803451538086,-0.3782527446746826,1.9533884525299072,-0.010245561599731445,-1.576188325881958,-0.020364999771118164,0.45787566900253296,0.16045452654361725,0.5936815738677979,3.135965760574925,0.005624225387037142,1.5738880962287318,181.84555984555985,62.5945945945946,128.0,128.0
9,0.45,-0.019299983978271484,-0.3765075206756592,1.952160120010376,-0.011493444442749023,-1.576819658279419,-0.0227663516998291,0.4592567980289459,0.15942096710205078,0.5938600301742554,3.135263980476253,0.006285821288981589,1.5742521872381123,181.29672447013488,63.32947976878613,128.0,128.0
